Oman,1257,1224,1194,1173,1163,1151,1149,1160,1176,1189,1192,1164,1163,1166,1155,1176,1202,1215,1248,1292,1330,1368,1392,1431,1499,1609,1686,1699,1640,1658,1527,1593
Pakistan,37679,38931,40393,42305,44285,46340,47784,49438,50622,52107,53228,54480,55986,57558,58582,59084,59259,58970,59471,60011,60893,65529,75215,87622,98577,103827,105875,106133,104584,103203,90869,102996
Palau,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,2,3,4,5,6,7,7,6,6,5,5,6
Palestine,844,914,976,1032,1073,1102,1124,1145,1164,1186,1220,1267,1330,1386,1459,1517,1588,1661,1726,1784,1823,1822,1741,1688,1677,1718,1709,1704,1726,1782,1645,1863
Panama,493,494,521,559,568,594,606,663,676,693,678,698,719,749,762,791,790,773,773,787,807,819,845,886,902,892,885,857,798,758,723,758
Papua New Guinea,556,576,593,610,624,642,666,692,727,758,785,793,789,772,762,777,809,847,886,919,972,1019,1063,1099,1143,1197,1243,1318,1397,1498,1569,1521
Paraguay,507,499,542,571,594,625,653,647,671,690,704,701,703,723,754,765,799,835,880,952,1007,1020,1022,1049,1038,1071,1152,1150,1217,1268,1185,1188
Peru,10590,10050,10609,10707,10718,10828,10448,10605,10825,10174,10254,9996,10347,10698,10659,10569,10190,9503,9094,9522,9627,9783,10121,10490,10636,10883,11574,12911,13809,15025,12558,13167
Philippines,16032,16201,17041,17805,18490,19215,20175,20747,21647,22321,23574,24879,26095,26513,27147,28282,28672,28331,28340,28691,28796,29097,29658,30291,31069,32712,35147,37650,40403,42995,40825,43158
Poland,47623,49663,48498,46916,46298,46248,44963,44084,42133,41966,39609,39029,39033,39969,40697,41095,41549,42347,42621,42743,41228,40527,40335,39090,36934,36749,35174,34781,34202,32449,31109,32315
Portugal,6032,6074,5979,6115,5928,6007,6153,6230,6396,6529,6333,6162,6045,5903,5521,5347,5045,4742,4431,4164,3910,3718,3643,3508,3364,3251,3032,2703,2455,2348,2587,2276
Puerto Rico,498,490,494,502,504,526,546,562,641,650,648,646,574,532,498,477,454,446,440,445,422,445,431,459,466,454,471,488,453,467,556,479
Qatar,213,221,229,238,229,223,249,285,297,309,316,333,349,364,377,395,407,420,432,449,463,475,495,516,533,539,545,551,553,548,538,562
Romania,25346,25374,26445,26305,26278,26959,27727,26859,25576,24667,23759,24364,25539,26138,26048,26410,25866,25099,25034,25141,25043,23768,23590,22180,22276,21646,20730,19774,19003,18227,17835,18187
Russia,204681,203380,213698,249097,266497,248944,231778,218543,212961,224596,228077,222871,215832,203748,184701,182715,167524,160768,162132,155474,156837,144842,136610,126937,120566,113678,109097,100597,97504,92566,87032,91533
Rwanda,1294,1321,1367,1410,1309,1165,1105,1134,1147,1102,1052,987,941,897,877,834,802,790,790,770,773,770,784,771,784,799,794,768,749,752,779,766
Saint Kitts and Nevis,16,13,13,13,13,14,14,13,13,12,12,11,10,10,9,9,8,8,8,8,8,8,8,9,9,9,9,9,9,9,11,9
Saint Lucia,61,63,64,66,66,66,65,65,65,66,65,67,67,68,69,69,67,65,65,65,65,67,70,78,81,84,90,93,96,99,106,108
Saint Vincent and the Grenadines,45,47,49,52,53,53,53,55,57,58,57,56,56,56,56,57,57,58,61,63,66,69,73,74,74,72,71,70,73,77,79,76
Samoa,22,21,21,22,22,22,23,23,24,26,27,28,29,30,31,32,33,34,34,35,36,37,38,39,40,41,43,45,47,48,49,49
San Marino,10,10,11,11,11,11,11,11,11,11,11,11,10,10,9,9,8,8,7,7,7,7,8,8,9,9,9,9,9,9,6,6
